Nr;X;Blok_Rij_Plantnr;Score MG;Vers netto;Droog netto;DS;DMY (kg/ha);Datum;Uur;;;;
990;;BLOK I_31_30;5;189,9;64,6;0,34;7178;12/04/2022;15:00;;;;
991;;BLOK I_31_31;4;262,6;78,1;0,3;8678;12/04/2022;15:00;;;;
992;;BLOK I_31_32;4;243,6;81,1;0,33;9011;12/04/2022;15:00;;;;
993;;BLOK I_32_1;2;121,5;40,6;0,33;4511;12/04/2022;15:12;;;;
994;;BLOK I_32_2;2;121,3;37,1;0,31;4122;12/04/2022;15:12;;;;
995;;BLOK I_32_3;3;205,6;69,1;0,34;7678;12/04/2022;15:12;;;;
996;;BLOK I_32_4;4;151,2;54,6;0,36;6067;12/04/2022;15:12;;;;
997;;BLOK I_32_5;2;120,1;39,6;0,33;4400;12/04/2022;15:12;;;;
998;;BLOK I_32_6;2;96,5;34,1;0,35;3789;12/04/2022;15:12;;;;
999;;BLOK I_32_7;3;82,2;24,6;0,3;2733;12/04/2022;15:12;;;;
1000;;BLOK I_32_8;4;126,9;44,6;0,35;4956;12/04/2022;15:12;;;;
1001;;BLOK I_32_9;2;39,1;14,6;0,37;1622;12/04/2022;15:12;;;;
1002;;BLOK I_32_10;3;68,7;25,6;0,37;2844;12/04/2022;15:12;;;;
1003;;BLOK I_32_11;4;133,6;49,1;0,37;5456;12/04/2022;15:12;;;;
1004;;BLOK I_32_12;3;114,1;41,6;0,36;4622;12/04/2022;15:12;;;;
1005;;BLOK I_32_13;3;104,1;37,6;0,36;4178;12/04/2022;15:12;;;;
1006;;BLOK I_32_14;2;80,9;22,1;0,27;2456;12/04/2022;15:12;;;;
1007;;BLOK I_32_15;2;70,4;22,6;0,32;2511;12/04/2022;15:12;;;;
1008;;BLOK I_32_16;3;94,2;32,1;0,34;3567;12/04/2022;15:12;;;;
1009;;BLOK I_32_17;2;88,8;29,6;0,33;3289;12/04/2022;15:12;;;;
1010;;BLOK I_32_18;2;86,8;32,1;0,37;3567;12/04/2022;15:12;;;;
1011;;BLOK I_32_19;3;200,9;57,1;0,28;6344;12/04/2022;15:12;;;;
1012;;BLOK I_32_20;2;109,7;41,1;0,37;4567;12/04/2022;15:12;;;;
1013;;BLOK I_32_21;3;146,4;49,1;0,34;5456;12/04/2022;15:12;;;;
1014;;BLOK I_32_22;4;209,6;77,1;0,37;8567;12/04/2022;15:12;;;;
1015;;BLOK I_32_23;1;74,6;24,6;0,33;2733;12/04/2022;15:12;;;;
1016;;BLOK I_32_24;1;25,6;10,1;0,39;1122;12/04/2022;15:12;;;;
1017;;BLOK I_32_25;1;19,7;7,1;0,36;789;12/04/2022;15:12;;;;
1018;;BLOK I_32_26;2;137,2;43,6;0,32;4844;12/04/2022;15:12;;;;
1019;;BLOK I_32_27;3;194,6;55,6;0,29;6178;12/04/2022;15:12;;;;
1020;;BLOK I_32_28;1;44,8;16,1;0,36;1789;12/04/2022;15:12;;;;
1021;;BLOK I_32_29;3;179,9;56,1;0,31;6233;12/04/2022;15:12;;;;
1022;;BLOK I_32_30;4;181,7;66,1;0,36;7344;12/04/2022;15:12;;;;
1023;;BLOK I_32_31;4;134,2;51,1;0,38;5678;12/04/2022;15:12;;;;
1024;;BLOK I_32_32;4;189;68,1;0,36;7567;12/04/2022;15:12;;;;
1025;;BLOK I_33_1;1;74,4;26,5;0,36;2944;12/04/2022;15:37;;;;
1026;;BLOK I_33_2;1;83,4;27,6;0,33;3067;12/04/2022;15:37;;;;
1027;;BLOK I_33_3;2;135,6;38,8;0,29;4311;12/04/2022;15:37;;;;
1028;;BLOK I_33_4;2;142,6;47,5;0,33;5278;12/04/2022;15:37;;;;
1029;;BLOK I_33_5;2;86;29,1;0,34;3233;12/04/2022;15:37;;;;
1030;;BLOK I_33_6;2;105;33,8;0,32;3756;12/04/2022;15:37;;;;
1031;;BLOK I_33_7;2;110,1;35,6;0,32;3956;12/04/2022;15:37;;;;
1032;;BLOK I_33_8;2;125;46;0,37;5111;12/04/2022;15:37;;;;
1033;;BLOK I_33_9;3;152,8;45,3;0,3;5033;12/04/2022;15:37;;;;
1034;;BLOK I_33_10;2;83,9;26,4;0,31;2933;12/04/2022;15:37;;;;
1035;;BLOK I_33_11;1;36,2;11,5;0,32;1278;12/04/2022;15:37;;;;
1036;;BLOK I_33_12;3;103,9;34,8;0,33;3867;12/04/2022;15:37;;;;
1037;;BLOK I_33_13;4;165,6;52,5;0,32;5833;12/04/2022;15:37;;;;
1038;;BLOK I_33_14;2;94;31,5;0,34;3500;12/04/2022;15:37;;;;
1039;;BLOK I_33_15;2;110,3;31,5;0,29;3500;12/04/2022;15:37;;;;
1040;;BLOK I_33_16;3;129,6;38,5;0,3;4278;12/04/2022;15:37;;;;
1041;;BLOK I_33_17;2;75,3;25,9;0,34;2878;12/04/2022;15:37;;;;
1042;;BLOK I_33_18;2;114,9;42,6;0,37;4733;12/04/2022;15:37;;;;
1043;;BLOK I_33_19;2;118,4;37,7;0,32;4189;12/04/2022;15:37;;;;
1044;;BLOK I_33_20;2;151,8;50,2;0,33;5578;12/04/2022;15:37;;;;
1045;;BLOK I_33_21;3;122,9;38,5;0,31;4278;12/04/2022;15:37;;;;
1046;;BLOK I_33_22;1;40;14,8;0,37;1644;12/04/2022;15:37;;;;
1047;;BLOK I_33_23;1;104,5;38,8;0,37;4311;12/04/2022;15:37;;;;
1048;;BLOK I_33_24;2;86,5;27,2;0,31;3022;12/04/2022;15:37;;;;
1049;;BLOK I_33_25;3;148,1;46,7;0,32;5189;12/04/2022;15:37;;;;
1050;;BLOK I_33_26;2;70,2;25,2;0,36;2800;12/04/2022;15:37;;;;
1051;;BLOK I_33_27;2;85;26,2;0,31;2911;12/04/2022;15:37;;;;
1052;;BLOK I_33_28;2;92,4;28,5;0,31;3167;12/04/2022;15:37;;;;
1053;;BLOK I_33_29;2;107,6;36,3;0,34;4033;12/04/2022;15:37;;;;
1054;;BLOK I_33_30;2;111,7;41,5;0,37;4611;12/04/2022;15:37;;;;
1055;;BLOK I_33_31;3;204,5;64,6;0,32;7178;12/04/2022;15:37;;;;
1056;;BLOK I_33_32;4;159,6;51;0,32;5667;12/04/2022;15:37;;;;
1057;;BLOK I_34_1;4;184,1;61,1;0,33;6789;12/04/2022;15:47;;;;
1058;;BLOK I_34_2;2;115,4;39,6;0,34;4400;12/04/2022;15:47;;;;
1059;;BLOK I_34_3;3;135,7;45,6;0,34;5067;12/04/2022;15:47;;;;
1060;;BLOK I_34_4;2;71,5;20,1;0,28;2233;12/04/2022;15:47;;;;
1061;;BLOK I_34_5;4;198,1;62,1;0,31;6900;12/04/2022;15:47;;;;
1062;;BLOK I_34_6;4;140,5;43,6;0,31;4844;12/04/2022;15:47;;;;
1063;;BLOK I_34_7;1;57,6;18,6;0,32;2067;12/04/2022;15:47;;;;
1064;;BLOK I_34_8;2;86,2;29,1;0,34;3233;12/04/2022;15:47;;;;
1065;;BLOK I_34_9;2;58,7;21,6;0,37;2400;12/04/2022;15:47;;;;
1066;;BLOK I_34_10;3;91,4;31,1;0,34;3456;12/04/2022;15:47;;;;
1067;;BLOK I_34_11;4;117,6;43,1;0,37;4789;12/04/2022;15:47;;;;
1068;;BLOK I_34_12;1;61,9;19,6;0,32;2178;12/04/2022;15:47;;;;
1069;;BLOK I_34_13;2;104,2;36,1;0,35;4011;12/04/2022;15:47;;;;
1070;;BLOK I_34_14;2;106,7;36,1;0,34;4011;12/04/2022;15:47;;;;
1071;;BLOK I_34_15;3;88,5;24,6;0,28;2733;12/04/2022;15:47;;;;
1072;;BLOK I_34_16;2;79;26,6;0,34;2956;12/04/2022;15:47;;;;
1073;;BLOK I_34_17;2;83,2;29,1;0,35;3233;12/04/2022;15:47;;;;
1074;;BLOK I_34_18;3;148,7;49,6;0,33;5511;12/04/2022;15:47;;;;
1075;;BLOK I_34_19;2;89;29,6;0,33;3289;12/04/2022;15:47;;;;
1076;;BLOK I_34_20;3;141,7;45,1;0,32;5011;12/04/2022;15:47;;;;
1077;;BLOK I_34_21;3;91,3;27,6;0,3;3067;12/04/2022;15:47;;;;
1078;;BLOK I_34_22;2;95,7;28,8;0,3;3200;12/04/2022;15:47;;;;
1079;;BLOK I_34_23;3;132;32,1;0,24;3567;12/04/2022;15:47;;;;
1080;;BLOK I_34_24;1;85;43,1;0,51;4789;12/04/2022;15:47;;;;
1081;;BLOK I_34_25;1;48,2;19,1;0,4;2122;12/04/2022;15:47;;;;
1082;;BLOK I_34_26;1;27,3;10,6;0,39;1178;12/04/2022;15:47;;;;
1083;;BLOK I_34_27;3;107,9;29,6;0,27;3289;12/04/2022;15:47;;;;
1084;;BLOK I_34_28;3;107,9;38,6;0,36;4289;12/04/2022;15:47;;;;
1085;;BLOK I_34_29;3;133,3;44,6;0,33;4956;12/04/2022;15:47;;;;
1086;;BLOK I_34_30;4;164,2;60,6;0,37;6733;12/04/2022;15:47;;;;
1087;;BLOK I_34_31;4;133,9;48,1;0,36;5344;12/04/2022;15:47;;;;
1088;;BLOK I_34_32;5;242;74,6;0,31;8289;12/04/2022;15:47;;;;
1089;;BLOK I_35_1;2;115,8;35,6;0,31;3956;12/04/2022;15:53;;;;
1090;;BLOK I_35_2;1;65,8;22,6;0,34;2511;12/04/2022;15:53;;;;
1091;;BLOK I_35_3;2;114,4;36,6;0,32;4067;12/04/2022;15:53;;;;
1092;;BLOK I_35_4;0;-4,9;-4,9;1;-544;12/04/2022;15:53;;;;
1093;;BLOK I_35_5;4;130,3;39,6;0,3;4400;12/04/2022;15:53;;;;
1094;;BLOK I_35_6;3;131;39,6;0,3;4400;12/04/2022;15:53;;;;
1095;;BLOK I_35_7;1;60,7;22,6;0,37;2511;12/04/2022;15:53;;;;
1096;;BLOK I_35_8;4;228;62,1;0,27;6900;12/04/2022;15:53;;;;
1097;;BLOK I_35_9;2;83;26,6;0,32;2956;12/04/2022;15:53;;;;
1098;;BLOK I_35_10;2;100,8;36,1;0,36;4011;12/04/2022;15:53;;;;
1099;;BLOK I_35_11;3;148;53,6;0,36;5956;12/04/2022;15:53;;;;
1100;;BLOK I_35_12;2;106,8;37,6;0,35;4178;12/04/2022;15:53;;;;
1101;;BLOK I_35_13;2;100,5;30,6;0,3;3400;12/04/2022;15:53;;;;
1102;;BLOK I_35_14;2;68,3;25,1;0,37;2789;12/04/2022;15:53;;;;
1103;;BLOK I_35_15;3;119,2;31,6;0,27;3511;12/04/2022;15:53;;;;
1104;;BLOK I_35_16;1;52,9;15,6;0,29;1733;12/04/2022;15:53;;;;
1105;;BLOK I_35_17;3;178,7;55,6;0,31;6178;12/04/2022;15:53;;;;
1106;;BLOK I_35_18;2;108,8;37,1;0,34;4122;12/04/2022;15:53;;;;
1107;;BLOK I_35_19;1;45,3;14,6;0,32;1622;12/04/2022;15:53;;;;
1108;;BLOK I_35_20;3;151,3;48,6;0,32;5400;12/04/2022;15:53;;;;
1109;;BLOK I_35_21;1;8,6;1,3;0,15;144;12/04/2022;15:53;;;;
1110;;BLOK I_35_22;2;157,2;47,1;0,3;5233;12/04/2022;15:53;;;;
1111;;BLOK I_35_23;3;141,1;40,6;0,29;4511;12/04/2022;15:53;;;;
1112;;BLOK I_35_24;1;17,9;6,6;0,37;733;12/04/2022;15:53;;;;
1113;;BLOK I_35_25;3;175,9;50,6;0,29;5622;12/04/2022;15:53;;;;
1114;;BLOK I_35_26;4;255,8;78,1;0,31;8678;12/04/2022;15:53;;;;
1115;;BLOK I_35_27;1;44,8;15,1;0,34;1678;12/04/2022;15:53;;;;
1116;;BLOK I_35_28;4;115,1;35,6;0,31;3956;12/04/2022;15:53;;;;
1117;;BLOK I_35_29;1;46,4;13,6;0,29;1511;12/04/2022;15:53;;;;
1118;;BLOK I_35_30;1;105,6;40,1;0,38;4456;12/04/2022;15:53;;;;
1119;;BLOK I_35_31;4;124,1;41,6;0,34;4622;12/04/2022;15:53;;;;
1120;;BLOK I_35_32;5;518,6;159,1;0,31;17678;12/04/2022;15:53;;;;
1121;;BLOK I_36_1;3;234;83,3;0,36;9256;12/04/2022;15:57;;;;
1122;;BLOK I_36_2;1;49,6;17,2;0,35;1911;12/04/2022;15:57;;;;
1123;;BLOK I_36_3;3;157,8;50,2;0,32;5578;12/04/2022;15:57;;;;
1124;;BLOK I_36_4;3;118,4;41,4;0,35;4600;12/04/2022;15:57;;;;
1125;;BLOK I_36_5;1;40,6;13,5;0,33;1500;12/04/2022;15:57;;;;
1126;;BLOK I_36_6;1;-4,9;-4,9;1;-544;12/04/2022;15:57;;;;
1127;;BLOK I_36_7;2;183,3;58,5;0,32;6500;12/04/2022;15:57;;;;
1128;;BLOK I_36_8;2;89,4;35;0,39;3889;12/04/2022;15:57;;;;
1129;;BLOK I_36_9;2;91;32,3;0,35;3589;12/04/2022;15:57;;;;
1130;;BLOK I_36_10;3;114,3;36,5;0,32;4056;12/04/2022;15:57;;;;
1131;;BLOK I_36_11;1;55,2;23,9;0,43;2656;12/04/2022;15:57;;;;
1132;;BLOK I_36_12;2;83,7;25,3;0,3;2811;12/04/2022;15:57;;;;
1133;;BLOK I_36_13;1;15,8;5,8;0,37;644;12/04/2022;15:57;;;;
1134;;BLOK I_36_14;2;118,2;36,3;0,31;4033;12/04/2022;15:57;;;;
1135;;BLOK I_36_15;2;87;27,9;0,32;3100;12/04/2022;15:57;;;;
1136;;BLOK I_36_16;3;101,1;31,7;0,31;3522;12/04/2022;15:57;;;;
1137;;BLOK I_36_17;1;172,5;56,9;0,33;6322;12/04/2022;15:57;;;;
1138;;BLOK I_36_18;1;67,1;22,5;0,34;2500;12/04/2022;15:57;;;;
1139;;BLOK I_36_19;3;144,8;41,5;0,29;4611;12/04/2022;15:57;;;;
1140;;BLOK I_36_20;1;41,8;14,4;0,34;1600;12/04/2022;15:57;;;;
1141;;BLOK I_36_21;1;87,9;32,8;0,37;3644;12/04/2022;15:57;;;;
1142;;BLOK I_36_22;2;137,8;49,1;0,36;5456;12/04/2022;15:57;;;;
1143;;BLOK I_36_23;2;85;27,1;0,32;3011;12/04/2022;15:57;;;;
1144;;BLOK I_36_24;2;105,5;34,8;0,33;3867;12/04/2022;15:57;;;;
1145;;BLOK I_36_25;2;85,8;24,2;0,28;2689;12/04/2022;15:57;;;;
1146;;BLOK I_36_26;2;107,7;35,3;0,33;3922;12/04/2022;15:57;;;;
1147;;BLOK I_36_27;1;80,5;29,8;0,37;3311;12/04/2022;15:57;;;;
1148;;BLOK I_36_28;2;96,3;33,3;0,35;3700;12/04/2022;15:57;;;;
1149;;BLOK I_36_29;4;188,5;66,9;0,35;7433;12/04/2022;15:57;;;;
1150;;BLOK I_36_30;2;83,5;27;0,32;3000;12/04/2022;15:57;;;;
1151;;BLOK I_36_31;5;180,9;57,3;0,32;6367;12/04/2022;15:57;;;;
1152;;BLOK I_36_32;1;70,2;20,2;0,29;2244;12/04/2022;15:57;;;;
1153;;BLOK I_37_1;0;-4,9;-4,9;1;-544;12/04/2022;16:19;;;;
1154;;BLOK I_37_2;3;134;41,9;0,31;4656;12/04/2022;16:19;;;;
1155;;BLOK I_37_3;3;199;65,3;0,33;7256;12/04/2022;16:19;;;;
1156;;BLOK I_37_4;3;129,7;51,8;0,4;5756;12/04/2022;16:19;;;;
1157;;BLOK I_37_5;2;97,5;31,7;0,33;3522;12/04/2022;16:19;;;;
1158;;BLOK I_37_6;3;137,3;43,6;0,32;4844;12/04/2022;16:19;;;;
1159;;BLOK I_37_7;3;112,7;34,1;0,3;3789;12/04/2022;16:19;;;;
1160;;BLOK I_37_8;1;59,6;21,5;0,36;2389;12/04/2022;16:19;;;;
1161;;BLOK I_37_9;1;66,9;22,4;0,33;2489;12/04/2022;16:19;;;;
1162;;BLOK I_37_10;3;168,6;55;0,33;6111;12/04/2022;16:19;;;;
1163;;BLOK I_37_11;4;162,9;54,4;0,33;6044;12/04/2022;16:19;;;;
1164;;BLOK I_37_12;3;160,7;44,6;0,28;4956;12/04/2022;16:19;;;;
1165;;BLOK I_37_13;4;185,5;51,8;0,28;5756;12/04/2022;16:19;;;;
1166;;BLOK I_37_14;1;67,3;23,4;0,35;2600;12/04/2022;16:19;;;;
1167;;BLOK I_37_15;3;161,1;44,4;0,28;4933;12/04/2022;16:19;;;;
1168;;BLOK I_37_16;2;44,4;16,3;0,37;1811;12/04/2022;16:19;;;;
1169;;BLOK I_37_17;1;57,4;18;0,31;2000;12/04/2022;16:19;;;;
1170;;BLOK I_37_18;1;57,3;21,3;0,37;2367;12/04/2022;16:19;;;;
1171;;BLOK I_37_19;2;154,8;48,8;0,32;5422;12/04/2022;16:19;;;;
1172;;BLOK I_37_20;3;181,5;57,7;0,32;6411;12/04/2022;16:19;;;;
1173;;BLOK I_37_21;2;97;29,6;0,31;3289;12/04/2022;16:19;;;;
1174;;BLOK I_37_22;3;153,4;48,2;0,31;5356;12/04/2022;16:19;;;;
1175;;BLOK I_37_23;2;137,9;40,8;0,3;4533;12/04/2022;16:19;;;;
1176;;BLOK I_37_24;3;188,1;51,4;0,27;5711;12/04/2022;16:19;;;;
1177;;BLOK I_37_25;3;230;73,8;0,32;8200;12/04/2022;16:19;;;;
1178;;BLOK I_37_26;2;119,2;39,6;0,33;4400;12/04/2022;16:19;;;;
1179;;BLOK I_37_27;3;128,2;43,9;0,34;4878;12/04/2022;16:19;;;;
1180;;BLOK I_37_28;4;214,3;63,6;0,3;7067;12/04/2022;16:19;;;;
1181;;BLOK I_37_29;3;203;64,1;0,32;7122;12/04/2022;16:19;;;;
1182;;BLOK I_37_30;2;159,6;56,7;0,36;6300;12/04/2022;16:19;;;;
1183;;BLOK I_37_31;2;84,2;33,7;0,4;3744;12/04/2022;16:19;;;;
1184;;BLOK I_37_32;3;172,9;56,8;0,33;6311;12/04/2022;16:19;;;;
1185;;BLOK I_38_1;1;81,7;27,1;0,33;3011;12/04/2022;16:35;;;;
1186;;BLOK I_38_2;2;116,8;41,6;0,36;4622;12/04/2022;16:35;;;;
1187;;BLOK I_38_3;2;150,6;53,6;0,36;5956;12/04/2022;16:35;;;;
1188;;BLOK I_38_4;3;176,7;67,1;0,38;7456;12/04/2022;16:35;;;;
1189;;BLOK I_38_5;3;146,8;48,1;0,33;5344;12/04/2022;16:35;;;;
1190;;BLOK I_38_6;2;137,4;42,1;0,31;4678;12/04/2022;16:35;;;;
1191;;BLOK I_38_7;3;121,6;39,1;0,32;4344;12/04/2022;16:35;;;;
1192;;BLOK I_38_8;3;109,7;38,1;0,35;4233;12/04/2022;16:35;;;;
1193;;BLOK I_38_9;1;9,7;2,1;0,22;233;12/04/2022;16:35;;;;
1194;;BLOK I_38_10;1;10,3;2,6;0,25;289;12/04/2022;16:35;;;;
1195;;BLOK I_38_11;2;91,3;30,6;0,34;3400;12/04/2022;16:35;;;;
1196;;BLOK I_38_12;2;95,1;31,6;0,33;3511;12/04/2022;16:35;;;;
1197;;BLOK I_38_13;2;66,8;21,1;0,32;2344;12/04/2022;16:35;;;;
1198;;BLOK I_38_14;4;167,4;53,6;0,32;5956;12/04/2022;16:35;;;;
1199;;BLOK I_38_15;3;89,5;25,6;0,29;2844;12/04/2022;16:35;;;;
1200;;BLOK I_38_16;2;101,3;32,1;0,32;3567;12/04/2022;16:35;;;;
1201;;BLOK I_38_17;3;190,2;53,1;0,28;5900;12/04/2022;16:35;;;;
1202;;BLOK I_38_18;2;103,6;36,1;0,35;4011;12/04/2022;16:35;;;;
1203;;BLOK I_38_19;2;171;54,1;0,32;6011;12/04/2022;16:35;;;;
1204;;BLOK I_38_20;2;126,8;40,1;0,32;4456;12/04/2022;16:35;;;;
1205;;BLOK I_38_21;2;115,6;35,1;0,3;3900;12/04/2022;16:35;;;;
1206;;BLOK I_38_22;2;144,6;44,6;0,31;4956;12/04/2022;16:35;;;;
1207;;BLOK I_38_23;2;145,8;46,6;0,32;5178;12/04/2022;16:35;;;;
1208;;BLOK I_38_24;0;-4,9;-4,9;1;-544;12/04/2022;16:35;;;;
1209;;BLOK I_38_25;3;249,9;75,6;0,3;8400;12/04/2022;16:35;;;;
1210;;BLOK I_38_26;2;65,9;25,1;0,38;2789;12/04/2022;16:35;;;;
1211;;BLOK I_38_27;3;158,6;43,1;0,27;4789;12/04/2022;16:35;;;;
1212;;BLOK I_38_28;1;86,9;30,6;0,35;3400;12/04/2022;16:35;;;;
1213;;BLOK I_38_29;1;74,9;26,6;0,36;2956;12/04/2022;16:35;;;;
1214;;BLOK I_38_30;4;343,2;107,1;0,31;11900;12/04/2022;16:35;;;;
1215;;BLOK I_38_31;1;72,9;26,1;0,36;2900;12/04/2022;16:35;;;;
1216;;BLOK I_38_32;4;261,9;79,6;0,3;8844;12/04/2022;16:35;;;;
1217;;BLOK I_39_1;2;127,8;49,6;0,39;5511;12/04/2022;16:58;;;;
1218;;BLOK I_39_2;2;83,2;33,6;0,4;3733;12/04/2022;16:58;;;;
1219;;BLOK I_39_3;2;91,4;31,1;0,34;3456;12/04/2022;16:58;;;;
1220;;BLOK I_39_4;2;65,8;23,6;0,36;2622;12/04/2022;16:58;;;;
1221;;BLOK I_39_5;2;62,1;21,6;0,35;2400;12/04/2022;16:58;;;;
1222;;BLOK I_39_6;1;16,9;9,1;0,54;1011;12/04/2022;16:58;;;;
1223;;BLOK I_39_7;1;47,4;17,6;0,37;1956;12/04/2022;16:58;;;;
1224;;BLOK I_39_8;3;153,8;53,1;0,35;5900;12/04/2022;16:58;;;;
1225;;BLOK I_39_9;2;92,3;28,1;0,3;3122;12/04/2022;16:58;;;;
1226;;BLOK I_39_10;3;126,7;48,1;0,38;5344;12/04/2022;16:58;;;;
1227;;BLOK I_39_11;2;60,5;21,6;0,36;2400;12/04/2022;16:58;;;;
1228;;BLOK I_39_12;2;105,2;35,6;0,34;3956;12/04/2022;16:58;;;;
1229;;BLOK I_39_13;3;109,8;39,1;0,36;4344;12/04/2022;16:58;;;;
1230;;BLOK I_39_14;3;130,9;39,1;0,3;4344;12/04/2022;16:58;;;;
1231;;BLOK I_39_15;2;59,3;21,6;0,36;2400;12/04/2022;16:58;;;;
1232;;BLOK I_39_16;2;60,9;20,6;0,34;2289;12/04/2022;16:58;;;;
1233;;BLOK I_39_17;1;59,6;22,6;0,38;2511;12/04/2022;16:58;;;;
1234;;BLOK I_39_18;2;80,7;29,1;0,36;3233;12/04/2022;16:58;;;;
1235;;BLOK I_39_19;2;72,4;22,1;0,31;2456;12/04/2022;16:58;;;;
1236;;BLOK I_39_20;3;130,2;44,6;0,34;4956;12/04/2022;16:58;;;;
1237;;BLOK I_39_21;1;58,7;21,1;0,36;2344;12/04/2022;16:58;;;;
1238;;BLOK I_39_22;3;215,5;62,6;0,29;6956;12/04/2022;16:58;;;;
1239;;BLOK I_39_23;1;17,6;5,6;0,32;622;12/04/2022;16:58;;;;
1240;;BLOK I_39_24;1;88,6;35,1;0,4;3900;12/04/2022;16:58;;;;
1241;;BLOK I_39_25;3;130,6;52,1;0,4;5789;12/04/2022;16:58;;;;
1242;;BLOK I_39_26;4;170,1;57,6;0,34;6400;12/04/2022;16:58;;;;
1243;;BLOK I_39_27;2;102,6;31,1;0,3;3456;12/04/2022;16:58;;;;
1244;;BLOK I_39_28;1;76;29,1;0,38;3233;12/04/2022;16:58;;;;
1245;;BLOK I_39_29;1;73,5;29,6;0,4;3289;12/04/2022;16:58;;;;
1246;;BLOK I_39_30;1;11,8;4,6;0,39;511;12/04/2022;16:58;;;;
1247;;BLOK I_39_31;5;220,4;69,1;0,31;7678;12/04/2022;16:58;;;;
1248;;BLOK I_39_32;1;59,4;22,6;0,38;2511;12/04/2022;16:58;;;;
1249;;BLOK I_40_1;2;172,8;55,6;0,32;6178;12/04/2022;17:04;;;;
1250;;BLOK I_40_2;0;-4,9;-4,9;1;-544;12/04/2022;17:04;;;;
1251;;BLOK I_40_3;3;192,9;59,1;0,31;6567;12/04/2022;17:04;;;;
1252;;BLOK I_40_4;2;69,8;22,6;0,32;2511;12/04/2022;17:04;;;;
1253;;BLOK I_40_5;5;192,6;55,1;0,29;6122;12/04/2022;17:04;;;;
1254;;BLOK I_40_6;3;115,2;37,6;0,33;4178;12/04/2022;17:04;;;;
1255;;BLOK I_40_7;1;31,7;11,1;0,35;1233;12/04/2022;17:04;;;;
1256;;BLOK I_40_8;3;162,7;50,1;0,31;5567;12/04/2022;17:04;;;;
1257;;BLOK I_40_9;1;39;10,6;0,27;1178;12/04/2022;17:04;;;;
1258;;BLOK I_40_10;3;168,5;50,1;0,3;5567;12/04/2022;17:04;;;;
1259;;BLOK I_40_11;3;144,7;53,6;0,37;5956;12/04/2022;17:04;;;;
1260;;BLOK I_40_12;2;164,4;54,6;0,33;6067;12/04/2022;17:04;;;;
1261;;BLOK I_40_13;2;161,4;50,6;0,31;5622;12/04/2022;17:04;;;;
1262;;BLOK I_40_14;3;155;49,6;0,32;5511;12/04/2022;17:04;;;;
1263;;BLOK I_40_15;3;92,4;27,6;0,3;3067;12/04/2022;17:04;;;;
1264;;BLOK I_40_16;3;155,9;51,1;0,33;5678;12/04/2022;17:04;;;;
1265;;BLOK I_40_17;2;117,9;40,6;0,34;4511;12/04/2022;17:04;;;;
1266;;BLOK I_40_18;3;157;49,1;0,31;5456;12/04/2022;17:04;;;;
1267;;BLOK I_40_19;4;246,3;73,6;0,3;8178;12/04/2022;17:04;;;;
1268;;BLOK I_40_20;1;20,3;7,6;0,37;844;12/04/2022;17:04;;;;
1269;;BLOK I_40_21;1;48,1;14,6;0,3;1622;12/04/2022;17:04;;;;
1270;;BLOK I_40_22;1;51,9;19,1;0,37;2122;12/04/2022;17:04;;;;
1271;;BLOK I_40_23;2;102;28,1;0,28;3122;12/04/2022;17:04;;;;
1272;;BLOK I_40_24;1;22,9;9,6;0,42;1067;12/04/2022;17:04;;;;
1273;;BLOK I_40_25;3;143,9;39,6;0,28;4400;12/04/2022;17:04;;;;
1274;;BLOK I_40_26;3;174,6;56,6;0,32;6289;12/04/2022;17:04;;;;
1275;;BLOK I_40_27;3;155,4;43,1;0,28;4789;12/04/2022;17:04;;;;
1276;;BLOK I_40_28;3;145,5;40,1;0,28;4456;12/04/2022;17:04;;;;
1277;;BLOK I_40_29;1;100,1;33,1;0,33;3678;12/04/2022;17:04;;;;
1278;;BLOK I_40_30;4;226,9;76,1;0,34;8456;12/04/2022;17:04;;;;
1279;;BLOK I_40_31;3;180,7;56,1;0,31;6233;12/04/2022;17:04;;;;
1280;;BLOK I_40_32;5;308,5;89,1;0,29;9900;12/04/2022;17:04;;;;
1281;;BLOK I_41_1;0;-4,9;-4,9;1;-544;12/04/2022;17:12;;;;
1282;;BLOK I_41_2;0;-4,9;-4,9;1;-544;12/04/2022;17:12;;;;
1283;;BLOK I_41_3;3;183,4;63,1;0,34;7011;12/04/2022;17:12;;;;
1284;;BLOK I_41_4;1;26,2;9,1;0,35;1011;12/04/2022;17:12;;;;
1285;;BLOK I_41_5;1;24,2;8,6;0,36;956;12/04/2022;17:12;;;;
1286;;BLOK I_41_6;0;-4,9;-4,9;1;-544;12/04/2022;17:12;;;;
1287;;BLOK I_41_7;3;131,6;42,1;0,32;4678;12/04/2022;17:12;;;;
1288;;BLOK I_41_8;2;58,4;20,1;0,34;2233;12/04/2022;17:12;;;;
1289;;BLOK I_41_9;2;99,4;29,6;0,3;3289;12/04/2022;17:12;;;;
1290;;BLOK I_41_10;3;121;34,6;0,29;3844;12/04/2022;17:12;;;;
1291;;BLOK I_41_11;0;-4,9;-4,9;1;-544;12/04/2022;17:12;;;;
1292;;BLOK I_41_12;2;137,8;53,1;0,39;5900;12/04/2022;17:12;;;;
1293;;BLOK I_41_13;0;-4,9;-4,9;1;-544;12/04/2022;17:12;;;;
1294;;BLOK I_41_14;0;-4,9;-4,9;1;-544;12/04/2022;17:12;;;;
