Nr;X;Blok_Rij_Plantnr;Score MG;Vers netto;Droog netto;DS;DMY (kg/ha);Datum;Uur;;;;
640;;BLOK I_20_32;5;441,3;119,1;0,27;13233;12/04/2022;13:00;;;;
641;;BLOK I_21_1;2;229,8;63,6;0,28;7067;12/04/2022;13:51;;;;
642;;BLOK I_21_2;1;52,9;18,1;0,34;2011;12/04/2022;13:57;;;;
643;;BLOK I_21_3;2;143,5;42,6;0,3;4733;12/04/2022;13:57;;;;
644;;BLOK I_21_4;1;67,2;20,1;0,3;2233;12/04/2022;13:57;;;;
645;;BLOK I_21_5;3;130,4;36,6;0,28;4067;12/04/2022;13:57;;;;
646;;BLOK I_21_6;1;17;8,1;0,48;900;12/04/2022;13:57;;;;
647;;BLOK I_21_7;2;113,4;30,1;0,27;3344;12/04/2022;13:57;;;;
648;;BLOK I_21_8;4;182,2;45,1;0,25;5011;12/04/2022;13:57;;;;
649;;BLOK I_21_9;1;31,4;11,6;0,37;1289;12/04/2022;13:57;;;;
650;;BLOK I_21_10;2;101,3;29,6;0,29;3289;12/04/2022;13:57;;;;
651;;BLOK I_21_11;1;74;23,6;0,32;2622;12/04/2022;13:57;;;;
652;;BLOK I_21_12;2;139,4;36,6;0,26;4067;12/04/2022;13:57;;;;
653;;BLOK I_21_13;0;-4,9;-4,9;1;-544;12/04/2022;13:57;;;;
654;;BLOK I_21_14;3;191,3;53,6;0,28;5956;12/04/2022;13:57;;;;
655;;BLOK I_21_15;1;50,6;19,1;0,38;2122;12/04/2022;13:57;;;;
656;;BLOK I_21_16;2;72,8;19,1;0,26;2122;12/04/2022;13:57;;;;
657;;BLOK I_21_17;1;8,5;2,6;0,31;289;12/04/2022;13:57;;;;
658;;BLOK I_21_18;4;236,8;62,6;0,26;6956;12/04/2022;13:57;;;;
659;;BLOK I_21_19;1;44;15,6;0,35;1733;12/04/2022;13:57;;;;
660;;BLOK I_21_20;2;76,8;25,6;0,33;2844;12/04/2022;13:57;;;;
661;;BLOK I_21_21;1;29,7;8,6;0,29;956;12/04/2022;13:57;;;;
662;;BLOK I_21_22;1;108,6;37,6;0,35;4178;12/04/2022;13:57;;;;
663;;BLOK I_21_23;1;60,4;23,6;0,39;2622;12/04/2022;13:57;;;;
664;;BLOK I_21_24;1;185;60,6;0,33;6733;12/04/2022;13:57;;;;
665;;BLOK I_21_25;2;194,2;56,6;0,29;6289;12/04/2022;13:57;;;;
666;;BLOK I_21_26;4;247,7;70,6;0,29;7844;12/04/2022;13:57;;;;
667;;BLOK I_21_27;1;88,7;23,1;0,26;2567;12/04/2022;13:57;;;;
668;;BLOK I_21_28;1;68,1;21,6;0,32;2400;12/04/2022;13:57;;;;
669;;BLOK I_21_29;2;135,8;41,6;0,31;4622;12/04/2022;13:57;;;;
670;;BLOK I_21_30;1;15,9;7,1;0,45;789;12/04/2022;13:57;;;;
671;;BLOK I_21_31;2;100,2;34,1;0,34;3789;12/04/2022;13:57;;;;
672;;BLOK I_21_32;4;215,5;61,1;0,28;6789;12/04/2022;13:57;;;;
673;;BLOK I_22_1;0;-4,9;-4,9;1;-544;12/04/2022;13:57;;;;
674;;BLOK I_22_2;1;54,1;18,1;0,33;2011;12/04/2022;13:57;;;;
675;;BLOK I_22_3;1;106,4;35,6;0,33;3956;12/04/2022;13:57;;;;
676;;BLOK I_22_4;2;142,1;45,1;0,32;5011;12/04/2022;13:57;;;;
677;;BLOK I_22_5;1;10,9;4,1;0,38;456;12/04/2022;13:57;;;;
678;;BLOK I_22_6;1;33,9;13,1;0,39;1456;12/04/2022;13:57;;;;
679;;BLOK I_22_7;2;109,5;33,6;0,31;3733;12/04/2022;13:57;;;;
680;;BLOK I_22_8;2;147,2;46,6;0,32;5178;12/04/2022;13:57;;;;
681;;BLOK I_22_9;1;52,7;16,1;0,31;1789;12/04/2022;13:57;;;;
682;;BLOK I_22_10;1;36,4;11,6;0,32;1289;12/04/2022;13:57;;;;
683;;BLOK I_22_11;2;87,8;26,1;0,3;2900;12/04/2022;13:57;;;;
684;;BLOK I_22_12;1;59,4;21,6;0,36;2400;12/04/2022;13:57;;;;
685;;BLOK I_22_13;2;113,8;32,3;0,28;3589;12/04/2022;13:57;;;;
686;;BLOK I_22_14;0;-4,9;-4,9;1;-544;12/04/2022;13:57;;;;
687;;BLOK I_22_15;1;58,4;19,2;0,33;2133;12/04/2022;13:57;;;;
688;;BLOK I_22_16;2;132,1;40,6;0,31;4511;12/04/2022;13:57;;;;
689;;BLOK I_22_17;0;-4,9;-4,9;1;-544;12/04/2022;13:57;;;;
690;;BLOK I_22_18;1;7,3;2,6;0,36;289;12/04/2022;13:57;;;;
691;;BLOK I_22_19;1;42,3;16,1;0,38;1789;12/04/2022;13:57;;;;
692;;BLOK I_22_20;1;98,3;28,1;0,29;3122;12/04/2022;13:57;;;;
693;;BLOK I_22_21;2;142;41,6;0,29;4622;12/04/2022;13:57;;;;
694;;BLOK I_22_22;3;144,2;39,6;0,27;4400;12/04/2022;13:57;;;;
695;;BLOK I_22_23;1;78,6;23,6;0,3;2622;12/04/2022;13:57;;;;
696;;BLOK I_22_24;1;161,9;64,1;0,4;7122;12/04/2022;13:57;;;;
697;;BLOK I_22_25;1;6,7;3,1;0,46;344;12/04/2022;13:57;;;;
698;;BLOK I_22_26;1;5,2;1,6;0,31;178;12/04/2022;13:57;;;;
699;;BLOK I_22_27;1;60,2;21,6;0,36;2400;12/04/2022;13:57;;;;
700;;BLOK I_22_28;2;85,1;27,6;0,32;3067;12/04/2022;13:57;;;;
701;;BLOK I_22_29;2;105,5;37,1;0,35;4122;12/04/2022;13:57;;;;
702;;BLOK I_22_30;2;183,1;61;0,33;6778;12/04/2022;13:57;;;;
703;;BLOK I_22_31;2;127,6;43,6;0,34;4844;12/04/2022;13:57;;;;
704;;BLOK I_22_32;3;155;50,5;0,33;5611;12/04/2022;13:57;;;;
705;;BLOK I_23_1;4;270;82,1;0,3;9122;12/04/2022;14:05;;;;
706;;BLOK I_23_2;1;22,5;6,6;0,29;733;12/04/2022;14:05;;;;
707;;BLOK I_23_3;3;209,8;61,1;0,29;6789;12/04/2022;14:05;;;;
708;;BLOK I_23_4;3;157;48,6;0,31;5400;12/04/2022;14:05;;;;
709;;BLOK I_23_5;4;194,7;55,6;0,29;6178;12/04/2022;14:05;;;;
710;;BLOK I_23_6;3;134,6;41,1;0,31;4567;12/04/2022;14:05;;;;
711;;BLOK I_23_7;2;104;31,6;0,3;3511;12/04/2022;14:05;;;;
712;;BLOK I_23_8;2;71,9;20,6;0,29;2289;12/04/2022;14:05;;;;
713;;BLOK I_23_9;1;27,3;8,1;0,3;900;12/04/2022;14:05;;;;
714;;BLOK I_23_10;2;129,3;40,6;0,31;4511;12/04/2022;14:05;;;;
715;;BLOK I_23_11;2;120,2;39,1;0,33;4344;12/04/2022;14:05;;;;
716;;BLOK I_23_12;2;118;33,6;0,28;3733;12/04/2022;14:05;;;;
717;;BLOK I_23_13;2;123,2;40,1;0,33;4456;12/04/2022;14:05;;;;
718;;BLOK I_23_14;2;109,1;33,1;0,3;3678;12/04/2022;14:05;;;;
719;;BLOK I_23_15;2;37,1;10,6;0,29;1178;12/04/2022;14:05;;;;
720;;BLOK I_23_16;2;87,8;22,1;0,25;2456;12/04/2022;14:05;;;;
721;;BLOK I_23_17;1;21,4;6,1;0,29;678;12/04/2022;14:05;;;;
722;;BLOK I_23_18;2;109;33,1;0,3;3678;12/04/2022;14:05;;;;
723;;BLOK I_23_19;3;339,7;96,6;0,28;10733;12/04/2022;14:05;;;;
724;;BLOK I_23_20;4;257,5;78,6;0,31;8733;12/04/2022;14:05;;;;
725;;BLOK I_23_21;3;195,8;54,6;0,28;6067;12/04/2022;14:05;;;;
726;;BLOK I_23_22;3;131,4;38,1;0,29;4233;12/04/2022;14:05;;;;
727;;BLOK I_23_23;3;152,6;41,6;0,27;4622;12/04/2022;14:05;;;;
728;;BLOK I_23_24;2;102,2;28,6;0,28;3178;12/04/2022;14:05;;;;
729;;BLOK I_23_25;3;190,9;56,1;0,29;6233;12/04/2022;14:05;;;;
730;;BLOK I_23_26;3;124,2;35,6;0,29;3956;12/04/2022;14:05;;;;
731;;BLOK I_23_27;2;103,2;30,1;0,29;3344;12/04/2022;14:05;;;;
732;;BLOK I_23_28;1;44,6;14,1;0,32;1567;12/04/2022;14:05;;;;
733;;BLOK I_23_29;2;101,9;33,1;0,32;3678;12/04/2022;14:05;;;;
